iter	Passed	Remaining
0	31	3159
1	34	1713
2	39	1275
3	42	1031
4	47	895
5	50	789
6	53	704
7	55	634
8	57	578
9	59	532
10	60	493
11	62	459
12	64	431
13	66	410
14	68	390
15	70	370
16	72	352
17	73	336
18	75	322
19	77	309
20	78	296
21	80	284
22	81	273
23	83	262
24	84	253
25	85	244
26	87	236
27	88	228
28	90	220
29	91	213
30	92	206
31	94	200
32	95	194
33	97	188
34	98	183
35	100	178
36	101	173
37	103	168
38	104	163
39	105	158
40	107	154
41	107	148
42	109	144
43	110	140
44	112	137
45	113	133
46	114	129
47	116	126
48	117	122
49	119	119
50	120	115
51	122	112
52	123	109
53	125	106
54	126	103
55	128	100
56	129	97
57	131	95
58	133	92
59	135	90
60	137	88
61	139	85
62	141	82
63	142	80
64	144	77
65	146	75
66	148	72
67	150	70
68	152	68
69	153	65
70	155	63
71	157	61
72	159	58
73	161	56
74	163	54
75	164	52
76	166	49
77	168	47
78	169	45
79	171	42
80	173	40
81	175	38
82	177	36
83	179	34
84	181	31
85	182	29
86	184	27
87	186	25
88	187	23
89	189	21
90	191	18
91	192	16
92	194	14
93	196	12
94	197	10
95	199	8
96	201	6
97	202	4
98	204	2
99	207	0
